ICN,,VTE
SIN,,SYD
DAD,,NGO
KUL,,TBB
CAN,,DAD
CDG,,MEL
HND,,SYD
BKK,,FUK
KUL,,VKG
PVG,,UIH
DLI,,CGK
BKK,,DIN
AMS,,RGN
PQC,,REP
VDH,,PEK
DME,,LPQ
SIN,,VCA
PUS,,CDG
LHR,,LPQ
MEL,,SGN
TBB,,CAN
PVG,,CXR
HAN,,CTU
TPE,,HND
NRT,,VII
HAN,,NRT
BKK,,VII
RGN,,CDG
DME,,CXR
LPQ,,DLI
DLI,,VTE
AMS,,CAN
HNL,,SGN
LPQ,,BMV
PNH,,VDH
REP,,CAN
LHR,,CXR
SYD,,CAN
FRA,,SGN
DME,,PEK
KUL,,DAD
KUL,,NGO
VII,,MNL
ICN,,FRA
CAN,,TBB
REP,,PUS
BMV,,KHH
HKG,,VII
RGN,,MNL
CDG,,HUI
REP,,DME
ZRH,,SGN
KHH,,NRT
AMS,,LHR
VTE,,CAN
SGN,,HOU
SIN,,REP
SGN,,JFK
SGN,,KIX
VCA,,KHH
TPE,,CDG
VCL,,RGN
PEK,,VCA
PRG,,HAN
VCS,,NRT
SYD,,PUS
REP,,TBB
VCA,,PNH
HAN,,DFW
DAD,,CXR
CXR,,BKK
PNH,,CXR
RGN,,FRA
BMV,,HAN
CXR,,REP
REP,,VKG
THD,,PNH
PNH,,DLI
PVG,,TBB
MEL,,BKK
TPE,,VTE
VTE,,TBB
KUL,,THD
RGN,,ICN
HAN,,PRG
BKK,,VCA
PUS,,HAN
DLI,,HAN
DLI,,TPE
SGN,,KHH
PUS,,MEL
ICN,,CDG
LPQ,,ICN
SIN,,FUK
ICN,,DLI
SIN,,SGN
VTE,,PUS
CXR,,PUS
LPQ,,HAN
NRT,,KUL
VTE,,PQC
SGN,,ROM
SGN,,DEN
CDG,,PNH
DFW,,ATL
DLI,,ICN
KHH,,FUK
HAN,,KIX
ICN,,HAN
VTE,,DME
DLI,,MNL
LPQ,,VDH
HAN,,DIN
TPE,,HAN
NGO,,CAN
PQC,,VCA
DAD,,SIN
CGK,,LHR
REP,,NGO
KUL,,LHR
BMV,,MNL
HAN,,AUS
AMS,,PUS
VII,,HAN
KUL,,CAN
VKG,,PNH
DFW,,SGN
SGN,,PNH
UIH,,SIN
CAN,,UIH
SYD,,SIN
BOS,,SGN
CDG,,KIX
CXR,,SGN
VDH,,SIN
REP,,THD
SGN,,PDX
PNH,,THD
MRS,,SGN
SGN,,HUI
DAD,,CAN
HUI,,ICN
SYD,,DME
LHR,,SIN
VTE,,SGN
NGO,,SIN
VII,,VTE
KUL,,CXR
DME,,SIN
ATL,,NRT
HAN,,AMS
KHH,,PNH
THD,,KUL
HAN,,HOU
RGN,,BMV
SGN,,MPL
LPQ,,CDG
CDG,,CTU
HUI,,LPQ
MPL,,HAN
PNH,,DAD
DAD,,LHR
NRT,,SYD
NGO,,BKK
PNH,,BMV
PUS,,PNH
BMV,,CGK
HKG,,HUI
KHH,,SYD
HAN,,PDX
KUL,,PQC
FRA,,RGN
DME,,CAN
VCL,,LPQ
CXR,,KUL
PNH,,VTE
FUK,,MEL
RGN,,KIX
TPE,,PNH
TBB,,SGN
MEL,,CAN
AUS,,HAN
VKG,,CGK
CDG,,HND
BCN,,HAN
VCS,,FUK
BMV,,PVG
VCA,,CTU
BKK,,KIX
HAN,,MEL
KIX,,TPE
VTE,,VCL
TBB,,SIN
DAD,,DME
MEL,,FUK
AMS,,SGN
DAD,,PUS
ICN,,HUI
PEK,,PQC
SYD,,SGN
CDG,,TPE
VCA,,VTE
VCL,,SIN
HAN,,SFO
DIN,,HAN
HAN,,KUL
BMV,,VTE
DME,,RGN
KIX,,CXR
SYD,,BKK
CAH,,SGN
PNH,,TBB
PVG,,DLI
AMS,,NGO
MIL,,SGN
NGO,,SGN
REP,,DAD
VII,,PNH
NGO,,LHR
REP,,HKG
UIH,,HAN
HND,,SGN
PVG,,VDH
SFO,,HAN
VII,,NRT
SGN,,CHI
HUI,,CGK
NRT,,REP
KIX,,KHH
HUI,,VTE
LHR,,NGO
FUK,,SYD
PNH,,HKG
CDG,,NRT
CAN,,DME
CDG,,KHH
VKG,,VTE
SIN,,PQC
SGN,,HAN
DLI,,KHH
KHH,,MEL
MAD,,SGN
SIN,,NRT
HAN,,MRS
HAN,,DEN
SIN,,DIN
REP,,LPQ
KHH,,KUL
SYD,,LHR
HAN,,PNH
PQC,,NRT
HAN,,VII
HOU,,HAN
RGN,,HAN
AMS,,SYD
CXR,,SYD
DME,,DAD
LHR,,PVG
AMS,,BKK
HAN,,SEA
HAN,,CHI
KUL,,UIH
KIX,,VTE
VTE,,VKG
HAN,,SYD
CDG,,VTE
SGN,,VCS
BKK,,NRT
CAN,,SIN
HUI,,KHH
VTE,,SYD
PUS,,FRA
SYD,,NGO
VTE,,LHR
DAD,,DLI
SGN,,CAH
CGK,,SGN
ICN,,CXR
CDG,,CGK
KUL,,HPH
PNH,,TPE
LHR,,ICN
MIA,,SGN
KUL,,HKG
LPQ,,HUI
PNH,,FRA
RGN,,DLI
VCS,,VCA
FUK,,KUL
HAN,,JFK
PNH,,UIH
TPE,,FRA
KIX,,DAD
HPH,,SGN
LPQ,,CXR
TBB,,BKK
HUI,,SIN
FUK,,SGN
HPH,,KUL
SGN,,MNL
CXR,,NGO
CXR,,LHR
NRT,,PNH
SGN,,CDG
SGN,,PRG
DAD,,BKK
BKK,,PQC
VII,,BMV
FUK,,CDG
REP,,PQC
HAN,,BOS
PQC,,CTU
MNL,,VII
PNH,,HPH
ICN,,SIN
ROM,,HAN
MEL,,PUS
MNL,,PNH
HAN,,ROM
FRA,,REP
ATL,,DFW
SGN,,PVG
SGN,,ICN
CTU,,VCA
THD,,MNL
UIH,,MNL
SGN,,KUL
PQC,,RGN
SGN,,AMS
SGN,,MEL
MEL,,DME
DLI,,SIN
FRA,,NRT
REP,,UIH
CAN,,CXR
VTE,,NGO
DME,,HKG
FRA,,PQC
KIX,,LPQ
DME,,SGN
NRT,,ATL
NRT,,PQC
VTE,,KUL
HPH,,BKK
